tweet_id,img_id,label1,label2,label3,voted_label,agreement
1668405142155042816,FyddYvIWYAAu1OI,General Information,General Information,General Information,General Information,full
1668402344831385600,FydbB38agAAVmV6,Reports of Actions of Responders,Warnings & Status Updates,Reports of Actions of Responders,Reports of Actions of Responders,majority
1668376336405245952,FydCwnbaEAAQhrr,Reports of Actions of Responders,Reports of Actions of Responders,Reports of Actions of Responders,Reports of Actions of Responders,full
1668376336405245952,FydCwRYaAAE4xxH,Reports of Actions of Responders,Reports of Actions of Responders,Reports of Actions of Responders,Reports of Actions of Responders,full
1668376336405245952,FydCxE8aMAAao84,Reports of Actions of Responders,Reports of Actions of Responders,Reports of Actions of Responders,Reports of Actions of Responders,full
1668365006092787712,Fyc5GaqagAA6_W1,Warnings & Status Updates,Warnings & Status Updates,Warnings & Status Updates,Warnings & Status Updates,full
1668355764769964032,FycwtbUWYB0kCWd,Preparedness,Insurance,Insurance,Insurance,majority
1668343776291553280,Fyclzm4WYAsvNtW,Support,Insurance,Insurance,Insurance,majority
1668339686480437248,FyciGUvacAE-ojV,Warnings & Status Updates,General Information,General Information,General Information,majority
1668330837287514112,FycZ5nRWABISBzo,Support,Support,Support,Support,full
1668308498516701184,FycFu5gaYAAmWuE,Smoke & Air Quality,Evacuees,Evacuees,Evacuees,majority
1668303445575467008,FycBJI3XsAUyroX,Insurance,Insurance,Insurance,Insurance,full
1668295913628991488,Fyb6ShbXoAImyDy,Preparedness,Preparedness,Insurance,Preparedness,majority
1668294002196742144,Fyb4gbYaQAAqjUx,Advertisement,Advertisement,Advertisement,Advertisement,full
1668289607333543936,Fyb0jo9WYAMr9Ej,Preparedness,Warnings & Status Updates,Preparedness,Preparedness,majority
1668281289529491456,Fybs-eYWwAAcDqG,Evacuees,Preparedness,Support,Evacuees,none
1668246775906414592,FybNmWpaYAAiPUQ,Smoke & Air Quality,Smoke & Air Quality,Smoke & Air Quality,Smoke & Air Quality,full
1668246065039171584,FybMmdDaUAEHQXU,Infrastructure,Infrastructure,Infrastructure,Infrastructure,full
1668246065039171584,FybM23_aEAE5eqV,Infrastructure,Infrastructure,Infrastructure,Infrastructure,full
1668103800014659584,FyZLhq8agAIqBAo,Reports of Actions of Responders,General Information,Reports of Actions of Responders,Reports of Actions of Responders,majority
1668097682697773056,FyZF_uOWIAI1de1,Warnings & Status Updates,Preparedness,Warnings & Status Updates,Warnings & Status Updates,majority
1668075864184037376,FyYyJ5zXgAEtptx,Warnings & Status Updates,Warnings & Status Updates,Weather Reports,Warnings & Status Updates,majority
1668051081870594048,FyYaxN_aAAECUAP,Warnings & Status Updates,Smoke & Air Quality,Smoke & Air Quality,Smoke & Air Quality,majority
1668048879366049792,FyYZnbKaAAAF8CO,Other,Warnings & Status Updates,Warnings & Status Updates,Warnings & Status Updates,majority
1668039609249591296,FyYRLyEaIAE72Bv,Warnings & Status Updates,Preparedness,Warnings & Status Updates,Warnings & Status Updates,majority
1668035237715271680,FyYNNMkaQAAvwib,Smoke & Air Quality,Other,Other,Other,majority
1668027819933462528,FyYGdYAaEAIyR79,Smoke & Air Quality,Other,Smoke & Air Quality,Smoke & Air Quality,majority
1668027819933462528,FyYGXzgagAI6Y4a,Smoke & Air Quality,Other,Smoke & Air Quality,Smoke & Air Quality,majority
1668027819933462528,FyYGWIHacAEjVgO,Smoke & Air Quality,Other,Smoke & Air Quality,Smoke & Air Quality,majority
1668027819933462528,FyYGZnCaYAAAblq,Smoke & Air Quality,Other,Smoke & Air Quality,Smoke & Air Quality,majority
1668022615892697088,FyYBRRTaUAEVw7p,Warnings & Status Updates,Preparedness,Warnings & Status Updates,Warnings & Status Updates,majority
